,Title,Address,City,State,PostalCode,Units,Open Date,Phase,Latitude,Longitude,Market,Submarket
16,Carraway Village hotel,Eubanks Road & Hwy 86,Chapel Hill,NC,27516,120,,Planning,35.9699412,-79.0670646,Raleigh/Durham/Chapel Hill,Durham/Chapel Hill 
17,Unnamed Hotel Boren Avenue,1916 Boren Ave,Seattle,WA,98101,301,7/31/2022,Planning,47.617467,-122.333061,Seattle,Seattle CBD 
18,Residence Inn By Marriott Longview,3661 Estes Pky,Longview,TX,75603-1703,100,3/23/2023,Final Planning,32.44001,-94.7176,Texas East,Tyler & Longview 
19,Desert Diamond West Valley Resort & Casino,Northern Ave & 91st Ave,Glendale,AZ,85305,400,1/31/2023,Planning,33.5500406,-112.257732,Phoenix,Phoenix West 
20,Hilton Buena Park,6940 Beach Blvd,Buena Park,CA,90621-3484,175,,Deferred,33.859306,-117.9956522,Orange County,Orange County Northwest/Fullerton 
21,Gaylord Palms Resort Convention Center,6000 W Osceola Pky,Kissimmee,FL,34746-4414,303,,In Construction,28.3430105,-81.5258964,Orlando,Kissimmee East 
22,Dream Hotel Palm Springs,355 N Avenida Caballeros,Palm Springs,CA,92262-6173,171,1/31/2022,In Construction,33.8274934,-116.5388503,Inland Empire,Palm Springs 
23,Gaylord Resort & Convention Center San Diego,520 Marina Pky,Chula Vista,CA,91910-4054,1600,10/30/2024,Final Planning,32.628484,-117.10335,San Diego,San Diego South/East 
24,Fairfield Inn & Suites Riverside Perris,19310 Harvill Ave,Perris,CA,92570-4901,104,12/15/2021,In Construction,33.8404626,-117.2529773,Inland Empire,Riverside Surrounding 
25,City Club Hotel,55 W 44th St,New York,NY,10036-6609,66,,Planning,40.7558942,-73.9821902,New York,Midtown West/Times Square NY 
26,Residence Inn Orlando Convention Center,100 Plaza Luz Row,Orlando,FL,32819,146,9/14/2023,Final Planning,28.436258,-81.470243,Orlando,Orlando International Drive 
27,La Quinta Inns & Suites Bastrop,521 Agnes St,Bastrop,TX,78602,87,5/31/2023,Planning,30.105738,-97.3375846,Austin,San Marcos/Austin Surrounding 
28,TownePlace Suites Houston I-10 East,10507 East Fwy,Houston,TX,77029,98,6/21/2021,In Construction,29.7753758,-95.2428324,Houston,Houston East/Baytown 
29,Home2 Suites by Hilton Charleston Riverview,317 Savannah Hwy,Charleston,SC,29407,107,,Planning,32.7809327,-79.9657195,Charleston,Charleston/West Ashley 
30,Fairfield Inn & Suites Dalton,786 College Dr,Dalton,GA,30720,90,7/3/2021,In Construction,34.7659601,-85.0043838,Georgia North,Georgia Northwest 
31,Le Meridien Anaheim Garden Grove,12262 Harbor Blvd,Garden Grove,CA,92840-4006,402,11/6/2023,Final Planning,33.7848229,-117.9141451,Orange County,Disneyland 
32,Hyatt Place Houston Medical Center,1801 Old Spanish Trl,Houston,TX,77054-2001,159,2/15/2023,In Construction,29.6963031,-95.4006664,Houston,Houston Medical Ctr/Reliant Stadium 
33,Fairfield Inn & Suites Fresno North/Shaw Avenue,1710 W Shaw Ave,Fresno,CA,93711-3416,87,7/14/2021,In Construction,36.8093272,-119.8246954,California South/Central,Fresno 
34,element Valley Forge,110 Goddard Blvd,King Of Prussia,PA,19406,120,6/8/2021,In Construction,40.0896181,-75.408441,Philadelphia,Philadelphia West Suburbs 
35,Unnamed SLO Airport Hotel # 1,950 Aero Dr,San Luis Obispo,CA,93401-8709,100,,Planning,35.241211,-120.639148,California Central Coast,San Luis Obispo/Paso Robles 
36,Ho-Chunk Casino & Hotel Beloit,Willowbrooke Road & Colley Rd,Beloit,WI,53511,300,1/5/2023,Planning,42.5051535,-88.9939418,Wisconsin South,Janesville/Racine 
37,Courtyard Orlando Convention Center,100 Plaza Luz Row,Orlando,FL,32819,150,11/13/2023,Final Planning,28.4355697,-81.4697818,Orlando,Orlando International Drive 
38,Great Wolf Lodge San Francisco/Manteca,2600 W Yosemite Ave,Manteca,CA,95337,500,6/15/2021,In Construction,37.7854411,-121.2637947,California North Central,Stockton/Modesto 
39,Fairfield Inn & Suites Manchester Merrimack,10 Premium Outlets Blvd,Merrimack,NH,03054-4766,111,12/7/2023,Planning,42.8253965,-71.5096308,New Hampshire,Portsmouth/Manchester 
40,The Wildacres Resort @ Belleayre,64 Galli Curci Rd,Highmount,NY,12441,208,,Planning,42.1410642,-74.5018155,Lower Hudson Valley,Hudson Valley Area NY 
41,Casa Cipriani New York,10 South St,New York,NY,10004-1921,47,5/31/2021,In Construction,40.7010704,-74.0117896,New York,Financial District NY 
42,Transbay District Hotel,36 Tehama St,San Francisco,CA,94105-3110,185,,Planning,37.7876004,-122.3963037,San Francisco/San Mateo,San Francisco Market St 
43,Ascend Collection Jamaica,97-01 Waltham St,Jamaica,NY,11435,60,8/16/2021,In Construction,40.6967902,-73.8063146,New York,JFK/Jamaica 
44,Courtyard Dallas Frisco,4884 Main St,Frisco,TX,75033,158,10/6/2022,In Construction,33.1562961,-96.8422457,Dallas,Denton/Lewisville/McKinney 
45,Topock 66 Spa & Resort Hotel,14999 Oatman-Topock Hwy,Topock,AZ,86436,102,,Final Planning,34.7190153,-114.4831279,Las Vegas,Las Vegas South 
46,Highmount Spa Resort @ Belleayre,49A & S Route 28,Highmount,NY,12441,120,,Planning,42.1463657,-74.4942912,Lower Hudson Valley,Hudson Valley Area NY 
47,Holiday Inn Express Blythe,650 W Wells St,Blythe,CA,92225-2745,80,6/16/2021,In Construction,33.6039137,-114.6040871,Inland Empire,Riverside Surrounding 
48,Centennial Gateway Hotel,2451 Tasman Dr,Santa Clara,CA,95054,200,,Planning,37.4052362,-121.9711374,San Jose/Santa Cruz,Santa Clara/Sunnyvale/Milpitas 
49,Virgin Hotel New York,1205-1225 Broadway,New York,NY,10001-4303,463,9/14/2021,In Construction,40.7465537,-73.9888321,New York,Midtown South NY 
50,Unnamed Hotel @ Rock Spring Center,Old Georgetown Rd,Bethesda,MD,20817,200,,Final Planning,39.0141255,-77.1175231,Washington,Bethesda/College Park 
51,Unnamed Hotel @ Hollywood Park Tomorrow,1050 S Prairie Ave,Inglewood,CA,90303,300,5/31/2022,Final Planning,33.9493358,-118.3417485,Los Angeles,Los Angeles CBD 
52,Staybridge Suites Monroe East,1121 Garrett Rd,Monroe,LA,71203-9015,88,,Deferred,32.4975275,-92.0540167,Louisiana North,Louisiana North Area 
53,TownePlace Suites New York Brooklyn,561-567 President St,Brooklyn,NY,11215-1018,94,7/25/2021,In Construction,40.6774202,-73.9844045,New York,East River-Queens/Brooklyn West 
54,Unnamed Hotel @ Burnham Place @ Union Station,100 Columbus Cir NE,Washington,DC,20002,500,,Planning,38.9009677,-77.0053941,Washington,Washington DC CBD 
55,Candlewood Suites Jackson North,0 Casey Jones Ln,Jackson,TN,38305,100,10/15/2022,Final Planning,35.6615394,-88.8565052,Tennessee Area,Tennessee West Area 
56,Fairfield Inn & Suites New York Queens Jamaica,148-18 Archer Ave,Jamaica,NY,11435-4317,112,6/8/2021,In Construction,40.700954,-73.805132,New York,JFK/Jamaica 
57,Courtyard Santa Cruz,313-335 Riverside Ave,Santa Cruz,CA,95060-5523,151,1/19/2022,In Construction,36.9669357,-122.0189871,San Jose/Santa Cruz,Santa Cruz/San Jose Area 
58,Home2 Suites by Hilton Houston I 10 East,703 Fleming Ct,Houston,TX,77013-5427,92,,Deferred,29.7766664,-95.2433963,Houston,Houston East/Baytown 
59,W Hotel Philadelphia,1439 Chestnut St,Philadelphia,PA,19102-2570,295,8/1/2021,In Construction,39.951542,-75.165043,Philadelphia,Philadelphia CBD 
60,The Boulevards Hotel @ South Bay,20400 Main St,Carson,CA,90745-1034,300,8/1/2022,Final Planning,33.8407643,-118.2667605,Los Angeles,South Bay 
61,Holiday Inn Express  Houston Northeast Bush Airport Area,18555 Kenswick Dr,Humble,TX,77338-7904,100,7/12/2022,Final Planning,29.9870485,-95.296928,Houston,George Bush Airport Area 
62,Toyoko Inn,320 S Clinton St,Chicago,IL,60661-5713,615,,Planning,41.8773773,-87.641469,Chicago,Chicago CBD 
63,Candlewood Suites Joliet,3625 Rock Creek Blvd,Joliet,IL,60431-9030,85,6/1/2022,Final Planning,41.4962184,-88.169457,Chicago,Chicago Southwest 
64,Resorts World Miami Convention Hotel,1420 N Bayshore Dr,Miami,FL,33132,520,,Planning,25.7892402,-80.1887083,Miami,Miami CBD/North 
65,Unnamed Hotel @ Hudson Valley Wine Village,191 Blue Point Rd,Highland,NY,12528-2101,140,,Deferred,41.687833,-73.953111,Lower Hudson Valley,Newburgh/Kingston NY 
66,Hampton by Hilton & Suites Lake Worth,6400 Shady Oaks Manor Dr,Fort Worth,TX,76135,85,6/30/2022,In Construction,32.8039418,-97.423084,Fort Worth/Arlington,Fort Worth CBD/I-820 West 
67,Tapestry Collection by Hilton Hotel Canandaigua,205 Lakeshore Dr,Canandaigua,NY,14424-2311,109,10/7/2021,In Construction,42.8744765,-77.2607923,Rochester,Rochester Other Areas NY 
68,Unnamed Hotel @ HARP,150 Central Main St,Pueblo,CO,81003-4213,130,,Planning,38.2658477,-104.6093865,Colorado Area,Colorado East Area 
69,Westin Raleigh Crabtree Valley,4901 Glenwood Ave,Raleigh,NC,27612-3853,250,,Deferred,35.8427521,-78.6842259,Raleigh/Durham/Chapel Hill,Raleigh Crabtree Mall 
70,Unnamed Hotel @ Fifth Avenue,520 Fifth Ave,New York,NY,10036-7504,208,,Final Planning,40.754465,-73.9805275,New York,Midtown West/Times Square NY 
71,Millennium Sunnyvale,1250 Lakeside Dr,Sunnyvale,CA,94085,263,5/31/2021,In Construction,37.3887127,-121.9905759,San Jose/Santa Cruz,San Jose Northwest/Palo Alto 
72,Fairfield Inn & Suites Lebanon Near Expo Center,100 Springwood Dr,Lebanon,PA,17042-7407,90,8/8/2021,In Construction,40.307425,-76.414178,Harrisburg,Harrisburg/Hershey PA 
73,SpringHill Suites Seattle Sea Tac Airport,International Blvd & S 176th St,SeaTac,WA,98188,133,,Deferred,47.4461962,-122.2957194,Seattle,Seattle Airport 
74,Starlux Boutique,305 E Rio Grande Ave,Wildwood,NJ,8260,140,,Final Planning,38.9813494,-74.820847,New Jersey Shore,South Shore/Vineland NJ 
75,Embassy Suites by Hilton Virginia Beach Oceanfront,4101 Atlantic Ave,Virginia Beach,VA,23451,158,2/2/2023,In Construction,36.8693748,-75.9805354,Norfolk/Virginia Beach,Virginia Beach 
76,Courtyard New York Queens Jamaica,148-22 Archer Ave,Jamaica,NY,11435,224,6/8/2021,In Construction,40.7009504,-73.805142,New York,JFK/Jamaica 
77,Williams Lake Resort,Williams Lake Rd,Rosendale,NY,12472,130,,Abandoned,41.8620572,-74.0819419,Lower Hudson Valley,Newburgh/Kingston NY 
78,Unknown Name,Loudoun County Pky,Ashburn,VA,20147,400,,In Construction,39.054325,-77.4527778,Washington,Dulles Airport Area 
79,Mandarin Oriental Boca Raton,700 S Federal Hwy,Boca Raton,FL,33432,163,9/1/2021,In Construction,26.3424172,-80.0856222,Palm Beach ,Boca Raton 
80,Chateau Celeste,1175 N Vermont Ave,Los Angeles,CA,90029-1710,31,,In Construction,34.0929436,-118.2920917,Los Angeles,Hollywood/Beverly Hills 
81,Hampton Inn & Suites Austin North,13001 Center Lake Dr,Austin,TX,78753-1014,94,1/1/2025,Planning,30.4064483,-97.6674253,Austin,Austin US-290/I-35 Area 
82,Montage Resort @ Hanalei Plantation,Honu Rd,Princeville,HI,96722,120,,Abandoned,22.2177094,-159.4974514,Hawaii/Kauai Islands,Kauai 
83,Courtyard Sherman,4344 N Loy Lake Rd,Sherman,TX,75092,117,11/24/2021,In Construction,33.6881465,-96.6069166,Texas East,Texas East Area 
84,SpringHill Suites Hartford Manchester Vernon,3 Tolland Tpke,Vernon Rockville,CT,6066,90,,In Construction,41.8200393,-72.5046797,Hartford,Hartford North/Windsor Locks 
85,Ascend Collection New York City,16 E 30th St,New York,NY,10016-7028,100,8/13/2021,In Construction,40.745342,-73.985512,New York,Midtown South NY 
86,Hampton Inn & Suites Charleston Spring St,210 Spring St,Charleston,SC,29403-5124,125,,Planning,32.7894239,-79.9486877,Charleston,Charleston/West Ashley 
87,LLC Boutique Hotel,3935-3937 27th St,Long Island City,NY,11101-3812,79,7/1/2021,In Construction,40.7533427,-73.9365372,New York,East River-Queens/Brooklyn West 
88,Embassy Suites by Hilton Kansas City Downtown,925 Grand Blvd,Kansas City,MO,64106-2006,284,1/1/2023,Planning,39.1025193,-94.5803503,Kansas City,Kansas City CBD 
89,Fairfield Inn & Suites Crystal Lake,900 Cog Cir,Crystal Lake,IL,60014,88,8/24/2024,Planning,42.2283518,-88.288682,Chicago,Chicago Northwest 
90,Hampton Inn & Suites Philadelphia Airport South Essington,514 S Governor Printz Blvd,Essington,PA,19029-1738,130,2/20/2025,Planning,39.871806,-75.278803,Philadelphia,Philadelphia Airport/Stadium 
91,Holiday Inn Express & Suites Monroe East,I 20 & Garrett Rd,Monroe,LA,71203,84,,Deferred,32.4932654,-91.9975844,Louisiana North,Louisiana North Area 
92,Tru by Hilton Phoenix Airport South,3200 S 48th St,Phoenix,AZ,85040,114,9/16/2024,Final Planning,33.4187442,-111.9800286,Phoenix,Phoenix Airport 
93,Embassy Suites Pier Park Panama City Beach,Front Beach Rd @ Pier Park,Panama City Beach,FL,32413,255,,Unconfirmed,30.215444,-85.87554,Florida Panhandle,Panama City 
94,La Bahia Hotel,215 Beach St,Santa Cruz,CA,95060-5449,165,,Deferred,36.9640157,-122.021842,San Jose/Santa Cruz,Santa Cruz/San Jose Area 
95,citizenM San Francisco,72 Ellis St,San Francisco,CA,94102-2208,186,,In Construction,37.7857781,-122.4074456,San Francisco/San Mateo,San Francisco Market St 
96,West Rosemary Hotel,110 W Rosemary St,Chapel Hill,NC,27516-2507,150,,Planning,35.9142138,-79.0571038,Raleigh/Durham/Chapel Hill,Durham/Chapel Hill 
97,Holiday Inn Express Long Island City,52-09 31st Pl,Long Island City,NY,11101,201,5/5/2022,In Construction,40.7370695,-73.9364013,New York,East River-Queens/Brooklyn West 
98,Residence Inn Ventura Downtown,770 S Seaward Ave,Ventura,CA,93001-3739,128,5/17/2022,In Construction,34.2642021,-119.2665948,California Central Coast,Oxnard/Ventura 
99,Comfort Suites Youngstown,5431 76 Dr,Youngstown,OH,44515-1126,68,8/30/2021,In Construction,41.1212361,-80.7665362,Ohio Area,Youngstown/Warren OH 
100,Unnamed Hotel,31-16 Linden Pl,Flushing,NY,11354,36,,In Construction,40.7688084,-73.8327166,New York,La Guardia/Queens North 
101,Unnamed Hotel @ The Horse Station at Cache Valley,Hwy 91 & Legacy Dr,Franklin,ID,83237,100,,Planning,42.0042282,-111.807761,Idaho,Idaho South Area 
102,Holiday Inn Express & Suites Battle Creek East,1967 E Michigan Ave,Battle Creek,MI,49014,87,,Deferred,42.2990009,-85.0828174,Michigan South,Kalamazoo/Battle Creek 
103,Hampton Inn Lafayette,3941 South St,Lafayette,IN,47905-4812,18,,Final Planning,40.41695,-86.8305024,Indiana North,Lafayette/Kokomo 
104,Hilton Garden Inn Orlando International Drive Convention Center,8959 Universal Blvd,Orlando,FL,32819,155,,Deferred,28.435643,-81.469096,Orlando,Orlando International Drive 
105,Jekyll Island Club Resort,371 N Riverview Dr,Jekyll Island,GA,31527-0874,39,,Planning,31.0596327,-81.4220271,Georgia South,Brunswick/Kingsland 
106,Courtyard New York Downtown Manhattan/Financial District,215 Pearl St,New York,NY,10038-4916,200,5/3/2021,In Construction,40.7072417,-74.0062557,New York,Financial District NY 
107,Residence Inn New York Downtown Manhattan/Financial District,215 Pearl St,New York,NY,10038-4916,120,5/3/2021,In Construction,40.7072975,-74.006272,New York,Financial District NY 
108,Boston Landing Hotel,180 Guest St,Brighton,MA,2135,175,11/1/2022,Planning,42.3568888,-71.1422254,Boston,Cambridge/Waltham 
109,Bushwick Hotel,101 Bogart St,Brooklyn,NY,11206-3709,42,7/30/2021,In Construction,40.7073494,-73.9339447,New York,New York City Area 
110,Kingsley Hotel @ Avenue Of The Americas,1146-1150 Avenue of the Americas,New York,NY,10036,350,,Deferred,40.756348,-73.9826824,New York,Midtown West/Times Square NY 
111,Enchanted Resorts Hotel,515 Foothill Blvd,Calistoga,CA,94515,110,,Planning,38.5731471,-122.5744825,California North,Napa Valley 
112,Holiday Inn Express & Suites Bullhead City,1300 Silver Creek Rd,Bullhead City,AZ,86442,89,7/1/2021,In Construction,35.1212841,-114.5806304,Las Vegas,Las Vegas South 
113,Embassy Suites by Hilton Oceanside,Jefferson St,Oceanside,CA,92054,179,8/12/2024,Final Planning,33.1806166,-117.336498,San Diego,Carlsbad/Oceanside 
114,Hampton Inn by Hilton Oceanside,Jefferson St,Oceanside,CA,92054,135,11/4/2024,Final Planning,33.1799315,-117.3381327,San Diego,Carlsbad/Oceanside 
115,Homewood Suites by Hilton Oceanside,Jefferson St,Oceanside,CA,92054,112,8/12/2024,Final Planning,33.1800725,-117.3388875,San Diego,Carlsbad/Oceanside 
116,Courtyard Shreveport Bossier City Louisiana Boardwalk,100 Boardwalk Blvd,Bossier City,LA,71111-4386,50,,Deferred,32.5172431,-93.739169,Louisiana North,Shreveport 
117,Hotel Indigo Flushing,3557 Prince St,Flushing,NY,11354-2732,150,1/4/2022,In Construction,40.7623049,-73.8327755,New York,La Guardia/Queens North 
118,Three Rivers Casino Hotel,5647 Highway 126,Florence,OR,97439-9200,107,,Planning,43.9825211,-124.0875298,Oregon Area,Eugene 
119,Four Points by Sheraton Flushing,134-37 35th Ave,Flushing,NY,11354,210,6/1/2021,In Construction,40.76475,-73.832297,New York,La Guardia/Queens North 
120,Kingsland Entertainment & Epic Adventures,239 May Creek Rd,Kingsland,GA,31548,1400,,Deferred,30.7860919,-81.6617919,Georgia South,Brunswick/Kingsland 
121,Residence Inn,2050 24th Ave NW,Norman,OK,73069-6400,124,10/12/2021,In Construction,35.2418524,-97.4777452,Oklahoma City,Norman/Moore 
122,TownePlace Suites Gulfport,10356 US 49,Gulfport,MS,39503,108,3/12/2023,Final Planning,30.4362478,-89.0956172,Mississippi,Biloxi/Gulfport 
123,TownePlace Suites Eugene Downtown,1000 Valley River Way,Eugene,OR,97401-2215,100,12/7/2023,Planning,44.0651766,-123.101033,Oregon Area,Eugene 
124,Hilton Garden Inn Raleigh Downtown,200 W Davie St,Raleigh,NC,27601-1737,140,7/13/2023,Final Planning,35.7758911,-78.642429,Raleigh/Durham/Chapel Hill,Cary/South Raleigh 
125,Marriott Seattle Lake Union,300 Terry Ave N,Seattle,WA,98109-5209,296,3/18/2022,In Construction,47.6211655,-122.3368165,Seattle,Seattle CBD 
126,Holiday Inn Frisco South,4909 Dallas Pky,Frisco,TX,75093,122,11/15/2022,Planning,33.052954,-96.8313233,Dallas,West Plano/Frisco 
127,Holiday Inn Express & Suites Jacksonville-Western Boulevard,139 Moosehaven Rd,Jacksonville,NC,28546-5503,100,8/17/2021,In Construction,34.7807518,-77.398588,North Carolina East,North Carolina Southeast Area 
128,Ascend Collection Breckenridge Hotel & Convention Center,216 W 6th Ave,Emporia,KS,66801-4079,86,6/30/2021,In Construction,38.4058608,-96.1832984,Kansas,Kansas Area 
129,The Raleigh Miami Beach,1775 Collins Ave,Miami Beach,FL,33139-2006,70,,Planning,25.793743,-80.129062,Miami,Miami Beach 
130,Hotel Indigo Starkville University Area,87 Cotton Mill Rd,Starkville,MS,39759-8179,110,,Deferred,33.4557725,-88.8036069,Mississippi,Vicksburg/Central Area 
131,SpringHill Suites By Marriott Dallas Coppell,8500 S Belt Line Rd,Coppell,TX,75019,120,4/5/2023,In Construction,32.9264277,-96.9919901,Dallas,Denton/Lewisville/McKinney 
132,TownePlace Suites By Marriott San Luis Obispo,1301 Calle Joaquin,San Luis Obispo,CA,93405,113,7/28/2021,In Construction,35.2503742,-120.6803344,California Central Coast,San Luis Obispo/Paso Robles 
133,Hotel Indigo Saratoga Springs,353 Broadway,Saratoga Springs,NY,12866-3135,140,,Abandoned,43.0803606,-73.7866112,Albany,Latham/Saratoga Springs 
134,Homewood Suites by Hilton Raleigh Durham Airport Brier Creek,10100 Lumley Rd,Raleigh,NC,27617,135,9/20/2023,Final Planning,35.899845,-78.784284,Raleigh/Durham/Chapel Hill,Research Triangle Park/Airport NC 
135,Autograph Collection 95 Rockwell Place,95 Rockwell Pl,Brooklyn,NY,11217-1105,201,,Deferred,40.687191,-73.979008,New York,East River-Queens/Brooklyn West 
136,Hyatt Place Pomona,55 Rancho Camino Dr,Pomona,CA,91766-4728,115,2/29/2024,Final Planning,34.0273294,-117.7591926,Los Angeles,Los Angeles East 
137,Strand & Pier,1250 The Strand,Hermosa Beach,CA,90254,100,,Deferred,33.8622441,-118.4016116,Los Angeles,South Bay 
138,Holiday Inn Express & Suites Chandler Central,1250 S Arizona Ave,Chandler,AZ,85286,110,5/23/2022,Deferred,33.2890274,-111.8427997,Phoenix,Phoenix Southeast/Chandler 
139,Holiday Inn Express & Suites San Antonio East - I-10,1414 Palmyra Dr,San Antonio,TX,78109,70,5/27/2021,In Construction,29.442327,-98.364865,San Antonio,San Antonio Northeast 
140,Staybridge Suites Ontario,N Trademark Pky,Rancho Cucamonga,CA,91730,114,7/1/2022,Final Planning,34.0738252,-117.5747185,Inland Empire,Ontario & Airport 
141,Holiday Inn Grover Beach,950 El Camino Real,Grover Beach,CA,93433-1449,134,6/30/2022,Final Planning,35.1334186,-120.618473,California Central Coast,San Luis Obispo/Paso Robles 
142,Courtyard Jacksonville Downtown,51 W Forsyth St,Jacksonville,FL,32202-3603,131,,Final Planning,30.3275774,-81.6589167,Jacksonville,Jacksonville/Airport 
143,Fairfield Inn & Suites San Francisco Airport North,127 W Harris Ave,South San Francisco,CA,94080-6010,128,8/12/2021,In Construction,37.6503677,-122.4038496,San Francisco/San Mateo,San Francisco Airport 
144,Holiday Inn Express & Suites Houma,Grand Caillou Rd & Oaklawn Dr,Houma,LA,70363,80,,Deferred,29.5754204,-90.6892209,Louisiana South,Louisiana South Area 
145,The FiDi Hotel,11 Stone St,New York,NY,10004-2211,131,9/15/2021,In Construction,40.7042513,-74.0122481,New York,Financial District NY 
146,TownePlace Suites Asheville,39 Elm St,Asheville,NC,28801-2316,95,7/15/2021,In Construction,35.6007306,-82.552661,North Carolina West,Asheville NC 
147,Homewood Suites by Hilton Atlanta Downtown,311 Marietta St NW,Atlanta,GA,30313-1628,129,,Deferred,33.7618471,-84.3955806,Atlanta,Atlanta CBD 
148,Home2 Suites by Hilton Baltimore BWI Airport,1018 Andover Rd,Linthicum Heights,MD,21090-3031,108,7/16/2025,Planning,39.2011853,-76.678584,Baltimore,BWI Airport 
149,aloft Hotel New York Chelsea North,450 11th Ave,New York,NY,10018,440,,Abandoned,40.757359,-74.000518,New York,Midtown South NY 
150,Dream Dallas,3207 McKinney Ave,Dallas,TX,75204-2472,128,12/16/2022,Final Planning,32.803443,-96.8002922,Dallas,Dallas CBD/Market Center 
151,Comfort Inn & Suites Fort Mill,501 S Sutton Rd,Fort Mill,SC,29715,95,6/28/2021,In Construction,34.9972909,-80.97151,Charlotte,Monroe & Rock Hill NC-SC 
152,Hampton Inn & Suites Rockingham,748 E US Highway 74,Rockingham,NC,28379,85,10/5/2021,In Construction,34.9144401,-79.7342434,North Carolina East,North Carolina Southeast Area 
153,Holiday Inn Express & Suites Memphis Downtown,Union Ave And S 4th St,Memphis,TN,38103,115,10/10/2022,Final Planning,35.141573,-90.048144,Memphis,Memphis CBD 
154,Hotel Indigo New York City Financial District,8 Maiden Ln,New York,NY,10038-4002,190,6/16/2021,In Construction,40.7094224,-74.0094867,New York,Financial District NY 
155,Hampton Inn Jackson Fondren District,3111 N State St,Jackson,MS,39216-4004,111,,Deferred,32.3367826,-90.1763787,Jackson,Jackson I-55 North/Clinton MS 
156,Residence Inn Paso Robles,121 Wilmar Pl,Paso Robles,CA,93446-8680,128,7/20/2023,Final Planning,35.5918856,-120.6963026,California Central Coast,San Luis Obispo/Paso Robles 
157,Hampton by Hilton & Suites Greensboro Downtown,332 Greene St,Greensboro,NC,27401,120,5/17/2021,In Construction,36.0690139,-79.7925517,Greensboro/Winston Salem,Greensboro 
158,AC Hotels by Marriott San Diego Downtown,743 5th Ave,San Diego,CA,92101-6917,145,1/15/2022,In Construction,32.7131479,-117.1599563,San Diego,San Diego CBD 
159,Courtyard Olympia,2102 SE Henderson Park Ln,Olympia,WA,98501,124,8/3/2023,Planning,47.0278182,-122.8846657,Washington State,Tacoma/Olympia 
160,Courtyard San Diego Chula Vista,2380 Olympic Pkwy,Chula Vista,CA,91913,153,,Deferred,32.628319,-116.968138,San Diego,San Diego South/East 
161,Residence Inn Corte Madera,56 Madera Blvd,Corte Madera,CA,94925-1227,128,6/24/2023,Final Planning,37.930712,-122.517447,San Francisco/San Mateo,San Francisco Area 
162,SpringHill Suites Corte Madera,56 Madera Blvd,Corte Madera,CA,94925-1227,82,1/1/2025,Final Planning,37.9307245,-122.5174614,San Francisco/San Mateo,San Francisco Area 
163,Unknown Name,11221 Northern Blvd,Corona,NY,11368,292,1/1/2024,In Construction,40.758474,-73.856724,New York,La Guardia/Queens North 
